Time(s),Filtered_Voltage
261.478,-0.0011451069098709675
261.4821,0.00023039675326507283
261.4861,0.0008092765559334775
261.4901,0.0003506939534660251
261.4936,-0.0005344055248777523
261.4977,-0.0010118845495642606
261.5017,-0.0007238264422361728
261.5059,1.3128229139568919e-05
261.5099,0.0005899701792008428
261.5144,0.0006690864561219454
261.5185,0.0004981400062116976
261.5221,0.0007716515002420671
261.5261,0.0020847602140058896
261.5301,0.0043279085759829385
261.5336,0.006585120343148716
261.5376,0.0077696128682377364
261.5422,0.0074565465582567565
261.5462,0.0060799487567935045
261.5502,0.004361354023267799
261.5537,0.002730556886238507
261.5577,0.001404043760820932
261.5623,0.0008000521698411677
261.5663,0.0014668093009450349
261.5702,0.0034308827758814065
261.5741,0.005824724840548056
261.5781,0.007428856459003476
261.5817,0.00762083420183766
261.5861,0.006693910828515462
261.5901,0.005258015475679917
261.5939,0.0035161668049550057
261.5977,0.00126429542872767
261.6023,-0.0015450822335116173
261.6063,-0.004478970530088411
261.6103,-0.006840317215260096
261.6139,-0.008030894134717307
261.6179,-0.007752053180360246
261.6214,-0.006129302575763107
261.626,-0.0037644529581302923
261.63,-0.0014775875758894017
261.6335,0.0002261597524219401
261.6375,0.0014506714546109049
261.6421,0.0025936051360780548
261.6461,0.003744196132999399
261.6501,0.004470566495634964
261.6536,0.004290719736118245
261.6576,0.0033810997875735943
261.6621,0.00269139406777293
261.6662,0.003154623267714749
261.6702,0.004708753783449689
261.6737,0.0061902264835631575
261.6778,0.006302286074582065
261.6824,0.004727997909592325
261.6865,0.0023061360219699947
261.6905,0.00016584747506237182
261.6939,-0.0012082150557766278
261.698,-0.0020329499337076976
261.7026,-0.0025646720425983407
261.7066,-0.0026662400670753967
261.7096,-0.0021041819699389197
261.7144,-0.0011116521138955543
261.7184,-0.0004621661326247617
261.722,-0.0008736559488426983
261.7262,-0.0022790770899856804
261.7302,-0.0036831506624272806
261.7339,-0.003848286388360549
261.7379,-0.002318449709277603
261.7423,9.522930284796649e-05
261.7465,0.0019062032914591936
261.7505,0.002233324411746906
261.7541,0.001600678294243242
261.7581,0.0013685152944482362
261.7616,0.0022823033389909224
261.7656,0.003672232997113396
261.7706,0.004178826298210939
261.7742,0.003221330936780193
261.7782,0.0016811703687254378
261.7817,0.0011482938453302278
261.7862,0.002510234839664883
261.7906,0.0051762808498693955
261.7937,0.007512736865329053
261.7977,0.008047784438991823
261.8017,0.006520731458552538
261.8058,0.00401100564288574
261.8098,0.0020469506091288564
261.8144,0.0014529374029905266
261.8184,0.0019628123700687686
261.8219,0.002837383859417543
261.8259,0.003679293128373902
261.8299,0.004565736104002018
261.8345,0.005541205581474103
261.8385,0.006228292507800926
261.842,0.006041881092484575
261.846,0.0047614860978617765
261.8501,0.00290424115877232
261.8537,0.001580411350831187
261.8577,0.001848328570625178
261.8623,0.0038616490555865635
261.8662,0.006442632613146272
261.8702,0.007685558313462159
261.8738,0.006346745528310858
261.8778,0.0028470454733320267
261.8816,-0.0010728141471474497
261.8856,-0.003715841232157726
261.8906,-0.004556045434192837
261.8942,-0.004245385271696589
261.8982,-0.0037444277851202516
261.9016,-0.0035415400976012094
261.9057,-0.0036210375135972595
261.9097,-0.003934604834764498
261.9143,-0.004636950730639699
261.9183,-0.005790729693744759
261.9218,-0.007020317405693487
261.9258,-0.007686721149789418
261.9298,-0.007474958253172467
261.9344,-0.006741992664698944
261.9384,-0.006246606121363088
261.9424,-0.006540247141539796
261.9464,-0.0075301402435878515
261.9504,-0.008510730675436425
261.954,-0.008680250131863076
261.958,-0.007817562630473857
261.9625,-0.006498343651022989
261.9665,-0.005539121030396595
261.9705,-0.0052211517538793065
261.9739,-0.005156651601669935
261.9779,-0.004887664034995975
261.9825,-0.00445304280378451
261.9865,-0.00429734366112905
261.9905,-0.0047392065885668595
261.994,-0.005642364669539821
261.998,-0.0065454434621387055
262.0026,-0.006989751268389523
262.0059,-0.006745407024981855
262.0099,-0.005902142537384125
262.0145,-0.004883872726704548
262.0185,-0.004327643320563783
262.022,-0.0047640709895406825
262.026,-0.006215394975100826
262.03,-0.00797721403586004
262.0346,-0.008835448884529654
262.0379,-0.007772929479602557
262.0425,-0.004821339030834798
262.0465,-0.0013155542844142066
262.0505,0.0009610540112807353
262.0546,0.0011607169587245006
262.0576,-0.00013629613097293535
262.0622,-0.0019207633724073925
262.0662,-0.003968176459001833
262.0702,-0.006600412778028536
262.0737,-0.00935184837604546
